model_a,model_b,b,c,statistic,p_value,p_holm,significant_holm
fusion_concat,fusion_gated,192,50,82.15289256198348,1.2595639644305337e-19,1.1839901265647017e-17,True
fusion_concat,fusion_xattn,86,58,5.0625,0.024448945310089332,0.7090194139925906,False
fusion_concat,knn,241,63,103.05592105263158,3.258203094191079e-24,3.3233671560749004e-22,True
fusion_concat,little2009,246,87,74.96696696696696,4.7865595557963854e-18,4.164306813542855e-16,True
fusion_concat,logreg,37,111,36.00675675675676,1.966344944739692e-09,1.1208166185016245e-07,True
fusion_concat,mobilenetv2,47,119,30.367469879518072,3.5747294152374216e-08,1.930353884228208e-06,True
fusion_concat,moro2019,234,76,79.51290322580645,4.790862431621419e-19,4.3596848127754914e-17,True
fusion_concat,neurovoz2024,195,87,40.59929078014184,1.868744794335008e-10,1.139934324544355e-08,True
fusion_concat,random_forest,116,90,3.033980582524272,0.08153775173393638,1.0,False
fusion_concat,resnet18,118,101,1.1689497716894977,0.2796171392535704,1.0,False
fusion_concat,svm_rbf,98,95,0.02072538860103627,0.885529568375913,1.0,False
fusion_concat,tsanas2012,256,92,76.34770114942529,2.3786814350404946e-18,2.0932396628356353e-16,True
fusion_concat,vasquez2018,80,94,0.9712643678160919,0.32436505154715933,1.0,False
fusion_concat,wav2vec2,144,81,17.084444444444443,3.5753959402488045e-05,0.001573174213709474,True
fusion_concat,xgboost,122,91,4.225352112676056,0.03982435536481084,1.0,False
fusion_gated,fusion_xattn,49,163,60.2311320754717,8.434750436916415e-15,6.494757836425639e-13,True
fusion_gated,knn,180,144,3.7808641975308643,0.05184187871568603,1.0,False
fusion_gated,little2009,195,178,0.6863270777479893,0.4074164944585835,1.0,False
fusion_gated,logreg,33,249,163.91843971631207,1.57608275736896e-37,1.7652126882532352e-35,True
fusion_gated,mobilenetv2,35,249,159.75,1.2831297782379857e-36,1.4242740538441641e-34,True
fusion_gated,moro2019,173,157,0.6818181818181818,0.4089613420368744,1.0,False
fusion_gated,neurovoz2024,143,177,3.403125,0.06507302877538931,1.0,False
fusion_gated,random_forest,85,201,46.24125874125874,1.0455196011801471e-11,6.586773487434926e-10,True
fusion_gated,resnet18,72,197,57.15985130111524,4.017902097935488e-14,3.053605594430971e-12,True
fusion_gated,svm_rbf,73,212,66.82105263157895,2.973060364529903e-16,2.4379094989145203e-14,True
fusion_gated,tsanas2012,206,184,1.1307692307692307,0.28761132005648493,1.0,False
fusion_gated,vasquez2018,60,216,87.04710144927536,1.059672285518058e-20,1.0172853940973357e-18,True
fusion_gated,wav2vec2,108,187,20.62372881355932,5.5898973031796655e-06,0.0002571352759462646,True
fusion_gated,xgboost,94,205,40.468227424749166,1.998394231422307e-10,1.179052596539161e-08,True
fusion_xattn,knn,215,65,79.28928571428571,5.364986874002588e-19,4.8284881866023294e-17,True
fusion_xattn,little2009,233,102,50.44776119402985,1.2237933439678796e-12,7.954656735791217e-11,True
fusion_xattn,logreg,31,133,62.201219512195124,3.1009583001750065e-15,2.480766640140005e-13,True
fusion_xattn,mobilenetv2,44,144,52.13297872340426,5.186649423959588e-13,3.52692160829252e-11,True
fusion_xattn,moro2019,199,69,62.093283582089555,3.2756673389889926e-15,2.569127584100578e-13,True
fusion_xattn,neurovoz2024,181,101,22.131205673758867,2.546366621094627e-06,0.00011967923119144747,True
fusion_xattn,random_forest,93,95,0.005319148936170213,0.9418598349236534,1.0,False
fusion_xattn,resnet18,94,105,0.5025125628140703,0.4783981994489356,1.0,False
fusion_xattn,svm_rbf,76,101,3.2542372881355934,0.07123907236980906,1.0,False
fusion_xattn,tsanas2012,240,104,52.979651162790695,3.3702181551849277e-13,2.3591527086294495e-11,True
fusion_xattn,vasquez2018,75,117,8.755208333333334,0.0030871910419933684,0.12040045063774137,False
fusion_xattn,wav2vec2,132,97,5.048034934497816,0.024653883289798822,0.7090194139925906,False
fusion_xattn,xgboost,102,99,0.01990049751243781,0.887815335823155,1.0,False
knn,little2009,163,182,0.9391304347826087,0.3325015719478721,1.0,False
knn,logreg,14,266,225.00357142857143,7.32877584521265e-51,8.79453101425518e-49,True
knn,mobilenetv2,38,288,190.18711656441718,2.8939274703162213e-43,3.414834414973141e-41,True
knn,moro2019,120,140,1.3884615384615384,0.23866508081821364,1.0,False
knn,neurovoz2024,133,203,14.169642857142858,0.0001670439441392129,0.006848801709707729,True
knn,random_forest,21,173,117.53092783505154,2.196481801807407e-27,2.3282707099158516e-25,True
knn,resnet18,48,209,99.61089494163424,1.8548128103346376e-23,1.8548128103346375e-21,True
knn,svm_rbf,18,193,143.48815165876778,4.5972710785825296e-33,5.011025475654957e-31,True
knn,tsanas2012,168,182,0.4828571428571429,0.4871309906878605,1.0,False
knn,vasquez2018,30,222,144.765873015873,2.4162796760969447e-33,2.657907643706639e-31,True
knn,wav2vec2,101,216,40.996845425867505,1.5247512776339993e-10,9.453457921330795e-09,True
knn,xgboost,31,178,101.99043062200957,5.579062167775933e-24,5.634852789453693e-22,True
little2009,logreg,31,264,182.4542372881356,1.4111732351261527e-41,1.6228492203950756e-39,True
little2009,mobilenetv2,35,266,175.74750830564784,4.111232295930618e-40,4.645692494401598e-38,True
little2009,moro2019,180,181,0.0,1.0,1.0,False
little2009,neurovoz2024,154,205,6.963788300835654,0.008317574005431733,0.2911150901901106,False
little2009,random_forest,106,239,50.504347826086956,1.1890108821251134e-12,7.847471822025748e-11,True
little2009,resnet18,87,229,62.914556962025316,2.158708661314978e-15,1.7485540156651321e-13,True
little2009,svm_rbf,75,231,78.51307189542484,7.947062219617395e-19,7.072885375459482e-17,True
little2009,tsanas2012,64,59,0.13008130081300814,0.718347758347887,1.0,False
little2009,vasquez2018,46,219,111.6377358490566,4.289449003300568e-26,4.418132473399585e-24,True
little2009,wav2vec2,129,225,25.494350282485875,4.4368024536345183e-07,2.2184012268172592e-05,True
little2009,xgboost,103,231,48.290419161676645,3.675436057022184e-12,2.352279076494198e-10,True
logreg,mobilenetv2,48,46,0.010638297872340425,0.9178501726683691,1.0,False
logreg,moro2019,250,18,199.1082089552239,3.269209759370152e-45,3.890359613650481e-43,True
logreg,neurovoz2024,215,33,132.1008064516129,1.422112950568868e-30,1.5358819866143776e-28,True
logreg,random_forest,117,17,73.14179104477611,1.2066238104500356e-17,1.0376964769870307e-15,True
logreg,resnet18,123,32,52.25806451612903,4.866567247881441e-13,3.3579314010381944e-11,True
logreg,svm_rbf,85,8,62.10752688172043,3.2520602330387062e-15,2.569127584100578e-13,True
logreg,tsanas2012,269,31,187.23,1.2793371990686219e-42,1.4840311509196015e-40,True
logreg,vasquez2018,76,16,37.83695652173913,7.691089277341659e-10,4.4608317808581625e-08,True
logreg,wav2vec2,171,34,90.22439024390243,2.1262473771681796e-21,2.0837224296248161e-19,True
logreg,xgboost,119,14,81.32330827067669,1.91652805811197e-19,1.782371094044132e-17,True
mobilenetv2,moro2019,259,29,182.08680555555554,1.697462465050585e-41,1.935107210157667e-39,True
mobilenetv2,neurovoz2024,213,33,130.2479674796748,3.616555550956234e-30,3.8697144395231702e-28,True
mobilenetv2,random_forest,137,39,53.46022727272727,2.638815162530227e-13,1.873558765396461e-11,True
mobilenetv2,resnet18,120,31,51.28476821192053,7.989313505804527e-13,5.352840048889033e-11,True
mobilenetv2,svm_rbf,121,46,32.790419161676645,1.026495276058574e-08,5.645724018322157e-07,True
mobilenetv2,tsanas2012,264,28,189.12671232876713,4.931205808513793e-43,5.769510795961138e-41,True
mobilenetv2,vasquez2018,101,43,22.5625,2.034166485137406e-06,9.763999128659548e-05,True
mobilenetv2,wav2vec2,173,38,85.0995260663507,2.837185428341395e-20,2.6953261569243253e-18,True
mobilenetv2,xgboost,144,41,56.23783783783784,6.421381227065099e-14,4.751822108028173e-12,True
moro2019,neurovoz2024,152,202,6.7824858757062145,0.009205659598835127,0.3129924263603943,False
moro2019,random_forest,54,186,71.50416666666666,2.7667326104209373e-17,2.3517227188577966e-15,True
moro2019,resnet18,41,182,87.89237668161435,6.911453542449113e-21,6.70410993617564e-19,True
moro2019,svm_rbf,43,198,98.40663900414938,3.407150505908718e-23,3.3730790008496306e-21,True
moro2019,tsanas2012,194,188,0.06544502617801047,0.7980880885473997,1.0,False
moro2019,vasquez2018,44,216,112.46538461538462,2.82555239758836e-26,2.9385744934918945e-24,True
moro2019,wav2vec2,120,215,26.376119402985076,2.8099319116036654e-07,1.461164594033906e-05,True
moro2019,xgboost,53,180,68.13733905579399,1.5249548373141324e-16,1.2809620633438712e-14,True
neurovoz2024,random_forest,94,176,24.3,8.243906238216845e-07,4.0395140567262544e-05,True
neurovoz2024,resnet18,75,166,33.60995850622407,6.734704728505628e-09,3.771434647963152e-07,True
neurovoz2024,svm_rbf,81,186,40.50936329588015,1.9567608982391328e-10,1.1740565389434797e-08,True
neurovoz2024,tsanas2012,209,153,8.356353591160222,0.003843410531761857,0.14220618967518872,False
neurovoz2024,vasquez2018,74,196,54.22592592592593,1.7871328609782873e-13,1.2867356599043668e-11,True
neurovoz2024,wav2vec2,121,166,6.7456445993031355,0.009397681645702706,0.3129924263603943,False
neurovoz2024,xgboost,104,181,20.266666666666666,6.73640529567905e-06,0.00030313823830555725,True
random_forest,resnet18,73,82,0.4129032258064516,0.520499608660045,1.0,False
random_forest,svm_rbf,34,57,5.318681318681318,0.02109797172477839,0.6329391517433517,False
random_forest,tsanas2012,235,97,56.53313253012048,5.525937546925034e-14,4.144453160193776e-12,True
random_forest,vasquez2018,44,84,11.8828125,0.000566543254580165,0.0226617301832066,True
random_forest,wav2vec2,131,94,5.76,0.01639507184919225,0.524642299174152,False
random_forest,xgboost,39,34,0.2191780821917808,0.6396668933244997,1.0,False
resnet18,svm_rbf,73,87,1.05625,0.30407203391686594,1.0,False
resnet18,tsanas2012,232,85,67.2429022082019,2.4003342084776126e-16,1.9922773930364185e-14,True
resnet18,vasquez2018,67,98,5.454545454545454,0.019517481182177752,0.6050419166475103,False
resnet18,wav2vec2,141,95,8.580508474576272,0.00339780474221665,0.1291165802042327,False
resnet18,xgboost,88,74,1.0432098765432098,0.3070761128977339,1.0,False
svm_rbf,tsanas2012,238,77,81.26984126984127,1.969086939276633e-19,1.8115599841345024e-17,True
svm_rbf,vasquez2018,45,62,2.392523364485981,0.12191669468434195,1.0,False
svm_rbf,wav2vec2,148,88,14.75,0.00012274752621773904,0.00515539610114504,True
svm_rbf,xgboost,60,32,7.923913043478261,0.004878564475033633,0.1756283211012108,False
tsanas2012,vasquez2018,48,226,114.33941605839416,1.0980818887911795e-26,1.1529859832307386e-24,True
tsanas2012,wav2vec2,134,235,27.100271002710027,1.931708605690703e-07,1.0238055610160725e-05,True
tsanas2012,xgboost,94,227,54.2803738317757,1.7382933982261547e-13,1.2689541807050929e-11,True
vasquez2018,wav2vec2,151,74,25.67111111111111,4.0484229590499703e-07,2.064695709115485e-05,True
vasquez2018,xgboost,84,39,15.739837398373984,7.267732419949e-05,0.0031251249405780702,True
wav2vec2,xgboost,108,140,3.875,0.04901030983969919,1.0,False
